case_id,categoria,colores,shuffle_len,resoluble,algoritmo,resuelto,movimientos,expanded,pruned,max_depth,best_bound,time,limite_alcanzado
S5c_07,soluble,RGBYO,15,True,branch_and_bound,True,2,4,1,2,2,0.00021610000112559646,False
S5c_08,soluble,RGBYO,22,True,backtracking,True,2,3,,2,,7.130000449251384e-05,False
S5c_08,soluble,RGBYO,22,True,branch_and_bound,True,2,4,1,2,2,0.0002461000040057115,False
S5c_09,soluble,RGBYO,16,True,backtracking,True,3,4,,3,,0.00010990000009769574,False
S5c_09,soluble,RGBYO,16,True,branch_and_bound,True,2,4,1,2,2,0.00029290000384207815,False
I3c_00,insoluble,RGB,12,False,backtracking,False,,14,,8,,0.0003232000017305836,False
I3c_00,insoluble,RGB,12,False,branch_and_bound,False,,0,0,0,,2.9000002541579306e-05,False
I4c_01,insoluble,RGBY,17,False,backtracking,False,,14,,8,,0.0003991999983554706,False
I4c_01,insoluble,RGBY,17,False,branch_and_bound,False,,0,0,0,,3.619999915827066e-05,False
I5c_02,insoluble,RGBYO,11,False,backtracking,False,,14,,7,,0.00043900000309804454,False
I5c_02,insoluble,RGBYO,11,False,branch_and_bound,False,,0,0,0,,4.6399996790569276e-05,False
I3c_03,insoluble,RGB,18,False,backtracking,False,,14,,7,,0.00032559999817749485,False
I3c_03,insoluble,RGB,18,False,branch_and_bound,False,,0,0,0,,2.8099995688535273e-05,False
I4c_04,insoluble,RGBY,14,False,backtracking,False,,14,,7,,0.0003834000017377548,False
I4c_04,insoluble,RGBY,14,False,branch_and_bound,False,,0,0,0,,4.400000034365803e-05,False
I5c_05,insoluble,RGBYO,18,False,backtracking,False,,5,,2,,0.00016509999841218814,False
I5c_05,insoluble,RGBYO,18,False,branch_and_bound,False,,0,0,0,,5.0000002374872565e-05,False
I3c_06,insoluble,RGB,17,False,backtracking,False,,14,,8,,0.00033819999953266233,False
I3c_06,insoluble,RGB,17,False,branch_and_bound,False,,0,0,0,,2.9100003303028643e-05,False
I4c_07,insoluble,RGBY,14,False,backtracking,False,,5,,2,,0.00013210000179242343,False
I4c_07,insoluble,RGBY,14,False,branch_and_bound,False,,0,0,0,,3.989999822806567e-05,False
I5c_08,insoluble,RGBYO,17,False,backtracking,False,,14,,7,,0.00043790000199805945,False
I5c_08,insoluble,RGBYO,17,False,branch_and_bound,False,,0,0,0,,4.640000406652689e-05,False
I3c_09,insoluble,RGB,17,False,backtracking,False,,5,,3,,0.00011549999908311293,False
I3c_09,insoluble,RGB,17,False,branch_and_bound,False,,0,0,0,,3.120000474154949e-05,False
P5c_00,profundo,RGBYO,45,True,backtracking,True,1,2,,1,,3.959999594371766e-05,False
P5c_00,profundo,RGBYO,45,True,branch_and_bound,True,1,3,1,1,1,0.00014179999561747536,False
P5c_01,profundo,RGBYO,37,True,backtracking,True,4,5,,4,,0.00013870000111637637,False
P5c_01,profundo,RGBYO,37,True,branch_and_bound,True,1,3,1,1,1,0.00013779999426333234,False
P5c_02,profundo,RGBYO,51,True,backtracking,True,4,5,,4,,0.00012660000356845558,False
P5c_02,profundo,RGBYO,51,True,branch_and_bound,True,1,3,1,1,1,0.00013359999866224825,False
P5c_03,profundo,RGBYO,38,True,backtracking,True,1,2,,1,,4.249999619787559e-05,False
P5c_03,profundo,RGBYO,38,True,branch_and_bound,True,1,3,1,1,1,0.00013819999730912969,False
P5c_04,profundo,RGBYO,55,True,backtracking,True,1,2,,1,,4.0899998566601425e-05,False
P5c_04,profundo,RGBYO,55,True,branch_and_bound,True,1,3,1,1,1,0.00013160000526113436,False
P5c_05,profundo,RGBYO,55,True,backtracking,True,4,5,,4,,0.00013760000001639128,False
P5c_05,profundo,RGBYO,55,True,branch_and_bound,True,1,3,1,1,1,0.0001286000042455271,False
P5c_06,profundo,RGBYO,52,True,backtracking,True,1,2,,1,,4.269999772077426e-05,False
P5c_06,profundo,RGBYO,52,True,branch_and_bound,True,1,3,1,1,1,0.00013579999358626083,False
P5c_07,profundo,RGBYO,51,True,backtracking,True,1,2,,1,,4.169999738223851e-05,False
P5c_07,profundo,RGBYO,51,True,branch_and_bound,True,1,3,1,1,1,0.0001688999982434325,False
P5c_08,profundo,RGBYO,43,True,backtracking,True,1,2,,1,,4.3799998820759356e-05,False
P5c_08,profundo,RGBYO,43,True,branch_and_bound,True,1,3,1,1,1,0.00012940000306116417,False
P5c_09,profundo,RGBYO,46,True,backtracking,True,1,2,,1,,3.9200000173877925e-05,False
P5c_09,profundo,RGBYO,46,True,branch_and_bound,True,1,3,1,1,1,0.00012450000212993473,False
